,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,-1718804396,1298079253,-1051855325,-594269611,1358431453,-99665676,-1196179114,-2140479662,1127897774,-783714629,-1653336194,-1731523440,1574482330,-1315223896,-1801302341,-1934212842,-1426515225,-1735734006,-1809510916,1793462903,-702034968,-1953959256,-436229286,-2032998841,-2046643984,1885545560,-1049238104,1269728976,1513846397,-2000954135,-1486583397,-887264941,1029140620,1596539509,654942639,-487908140,1003021886,1888016783,1206793496,-182906884,2044013093,-1929139784,-848151117,1550642578,920299324,1924929624,-1815970530,1246645987,1699520456,1018100598,-1806282066,-1464808425,-2007269719,-1318607567,299933155,582535198,-1760847758,1472966179,2086327566,874012083,-224400858,1419526859,-1685927984,-1581614768,1886786979,-1857708525,-133530563,1191965050,-964910295,1362260765,1176016309,1644855385,-444513143,1261899114,-1354976927,1002275692,1352981686,-1285777859,-980075031,-1393123814,1688647226,2104237978,146757933,1749473983,343830625,1837770803,-1125089436,54991143,1000942097,918983026,-23578834,-362825624,955862548,-1447439882,499561030,-1030817552,49115323,1724989751,-1856680781,35208461,2014083253,1589629033,-1271617968,-9464852,-1073969883,293678440,-981522966,1923783912,-1790143213,2115765512,2007920643,-1726422505,1965209679,725309703,-353517492,-353764301,-1338310240,-1614386023,769329117,1787143686,1265621877,2014327163,486007189,-682619705,-1240734358,-505276192,-1583309962,-484715547,1557476612,860661082,1633424400,1896880732,619148665,-2016475473,-1919773955,-406570617,-982307077,-769528074,-1523258801,-1251381685,-193578281,1103882287,-1033649172,-1721949390,-491876836,-1116174832,1760418248,-1184797491,-2039139673,-31903888,-1381121941,-1291272641,478199772,-1713958189,-1202026332,-835990010,1355332809,-656299590,-2026041474,-558352097,272166111,-369947147,1187666780,1546156205,-135136125,-93425374,-2005677288,1700005996,1182425116,630845660,-329460552,-965673027,1600418910,1942298587,1005622821,1308149709,2145470204,-444240674,-157447032,28768650,-456876345,-1259079683,73617618,-10798805,-1838909409,149110684,1803483284,653432502,-2103201234,-2106603670,-89281734,-1937371821,531942942,366433855,-636957143,-708652118,-1827579887,1828149483,-575236238,-1100577784
1,1197786689,-1608440806,-453545804,2096304369,-731752995,-697915685,-1107595716,333829306,1100430257,1234833899,-1938383315,1970825913,821210909,1597453835,-333732045,-817553679,-98358167,1805298887,511590787,-1521774636,1334689239,1331417494,-1225083393,1487177800,-1557996157,541751283,1317055168,-1760938560,-955574268,287409337,-1821956131,-1784588647,831099,-927828018,-1927266569,1356593855,1462404725,2037069200,528179642,-2116784865,1443314741,684290134,905467563,-1927532771,1494348292,719729915,-439802340,-625294053,1420822582,-1229028403,779426588,-1877023350,860040174,1770924810,1672358742,-919874108,720573744,-1642224023,-390105035,1479565331,1938341858,-811552023,199228495,1570666301,-989613563,1161007225,741941376,-2054881535,-1313585475,-1725767464,-201626654,731624541,-981472847,348187756,770300260,1179436990,-1099534540,777519105,-919091326,716052329,-645872598,-355956842,2012471392,-2033115769,-767495781,-2087217112,610535119,658719890,866219898,-1298021789,-1287683216,2003628812,-1154588058,243214176,-875198275,-446442927,-1205367336,706777613,169742052,-1188314705,130923738,939144318,-1125233230,1490563770,-1242899435,-432151724,1319717224,1477826463,1780588319,-632520418,-1268279196,1017524024,-481969216,513658743,-1855610743,-175736117,-482213862,926587999,-1583347498,-813968391,1661840945,1919339511,103586979,-377270156,1917880742,-1907544943,1521445665,1499252505,1676351151,-1361669016,-329831607,-28283931,-215088105,1173760352,1539745672,976076627,711488177,1253854389,113553064,-367551361,-2075219796,1999291410,-371592856,-1737492917,-195059415,-871033233,1662717258,-196459231,-1371442130,-2053279408,396529879,-1095505471,-1170044413,153404176,-785931622,-1086362045,-922253383,1743756196,292463959,-1642153017,727862472,1693146462,635498821,86433678,1928247321,-776201987,-88553875,282148109,83876419,-507894924,1984095444,-1727259160,1094920071,718204101,2076670332,-767212521,2072750785,-1102741692,1566408081,-971916290,-21400321,-1205750139,1600060889,473727836,-1970927589,-1960057915,1264921445,-1879899587,1751033681,870639460,2102472576,-1641324305,1187201698,-1317887876,1633152681,-1233207978,509607491,-159584564,-194079063,-1083727781
2,1940180158,1795993452,-740842868,1440737803,63253906,-1285389892,-628930232,190372075,1495029804,-1621191595,2136819003,-1692522748,938248868,778611541,-87774032,933898519,1409328727,-1347538448,484854879,-2035788831,-462486495,1101704098,-1924377908,1729018324,-1961869195,1587324529,-1444443104,1551581131,-571895249,-668948357,-182903043,-784285860,1371195694,-118125230,-385743386,742024498,-320665634,1095136727,-1896002069,-87504537,69142944,1041937876,-520690411,740376511,1854490279,-1365936314,-1428827707,372058590,1245264743,779569259,-383076652,-1739045664,453759681,975554219,1543995090,1846864091,1256989146,1593456749,1626170329,-1830043876,2127772164,1560206698,2050464651,-713918916,-1377381722,-705724213,-644991597,633893516,308361739,720789340,2015733171,-520982789,1602213578,-805377879,50466640,-1337788702,11821656,2132851423,369290798,1500922989,154034021,1830747189,805718835,1918152712,-1863166057,-1757679318,-1380974498,1381708280,193365003,-1607661531,261390284,-1063866407,159475051,-1784784428,1310021501,-1583413010,1674870761,-1858037155,-1564730570,-339632908,-1797271770,940005987,842480724,-438405070,-1947485800,681281727,-1253495575,2032438976,210853323,-800364300,683826555,1759933703,-1686349469,923891922,2102920637,2122825099,-1417763332,1956545810,-966262265,-635117782,223565072,-1079851764,1935831322,-1888884024,1412264179,2134200173,666533310,-121356023,245915657,-123732093,1543080660,-325262905,-469962611,-1610793512,657713421,-884142589,1520583030,-925587309,2000294157,-201890582,-1945429211,1737880296,-754162320,1393693045,1233767075,1976650495,363705211,342604819,-286405541,91150270,411963535,-831053407,1636962618,-1226243359,-599288282,-840366950,1097008068,1174614213,1552011301,-904385761,-1888147567,-1855416201,-1001930388,-588927138,-1487710562,1385881032,-220004626,-1796534520,-1883394328,1551374530,1199218846,1636524273,-2019611307,918505705,726581638,-1558472804,348102659,-583270100,1993075290,-1722077332,-690847051,945694548,52671689,-879701879,-1116424422,803969695,-1348254477,296991964,-191197504,1239694127,-1391190900,534736372,1065791937,-944340103,1850036314,111083626,-1764580851,-1854120639,-707987186,1746990849
3,-1364798659,532739890,1494445248,-1168757519,-1579399693,1222424145,1714658495,-1315283578,-950346221,-400003634,-777237247,962628122,1706397693,-1843383067,1662387467,1828027584,-1193084676,1226795011,216253562,-689364590,-1663888390,-404296859,-926824177,-773318281,-273913360,-335502313,1212855863,485031072,-1168509766,66377409,-2064259409,2121716700,-2109245444,-970380775,-2025271130,1855547537,-1905945653,389224329,-515269896,796474512,-793280733,-1207269971,-1694221335,-641546842,1018242299,326902788,-2009449256,1419891675,-1681829312,-886275626,2121902956,-890062143,281241238,-964035358,-1040023202,-1468365444,605332441,1094585034,-1552507816,589663897,-2038960966,1640152274,-2075027917,-2142809044,-907921616,1796723245,-1886987166,-1440328189,-1904789999,-1533077937,-1716531888,-1162126763,-1792225522,-1731483931,1224265879,1457547486,1047418876,-565017122,-36069882,581657071,-2089474791,-2014748158,1848386561,1502201069,1993999395,-320042039,-1210604310,289268563,203040103,2130212952,261336113,1865698069,-1047169852,2086786037,-1968571021,1365402337,-70047792,53205381,-982631224,-2095336458,1282577984,1250593337,-764743685,-1442509021,174134129,-1432515605,1352564885,-1791878577,401882377,-882269458,916370675,-1909920178,1611514615,-1791056584,-516996873,-546757029,1049852763,1898629871,-257310146,1758607517,634067451,-33219019,-676640505,2079832307,298680922,-1748564484,915326703,-1034250231,1289354221,207321003,-1306053187,933947399,-362884573,901131493,-1115350297,-326773473,-1143048152,80149311,2011749827,327560323,-683589440,-2062620389,736939181,997816211,92606394,-1839634123,-296227147,1039245397,-137158214,1744432921,677537,2019372064,533052628,1067347282,1290187846,-1473169657,-1099121854,704613126,2128664186,-1612187487,711495661,291018245,-618822494,505371831,-1330672245,-1787739604,1192584122,-1118269597,-237537669,-1675660630,802594532,-1332367594,-2103739621,-1242761328,-1213928678,-396438918,-360060121,-449256537,530411881,-47361694,668014377,10266415,-48005693,1592786972,-370285789,-1031476346,547993186,-1768281820,788448512,1812272466,-701673772,901760812,-1667490432,1974756508,-829526366,-2070889203,48006213,-774292042,-976902421,757382250
4,1444773747,-1994459890,-110181098,764796926,1596279888,-2068743773,1924116802,-1122042945,-1697663345,-1727123026,-1194302094,800706942,1485401142,-256270864,629345053,-1071295941,-623833197,1291010932,1609355614,-1131275710,-1243245649,77311356,-1293067673,1567866835,-624779460,-1303494211,-426432776,-514808027,-1899903873,682256920,488974427,1518926458,-1427656426,259291620,-493957015,-1463586928,554866354,1565251300,-373784907,2081065564,674197471,2096094972,1899645189,745221977,-219748927,2055374463,1986513122,-987006655,1481447854,-2059636783,-970628300,540284901,484269208,2009451331,-1659511215,1731680239,-1665984085,-723697619,94716537,826230490,-1431844605,1766849980,-1516416788,55465115,316450331,-1489791222,-745004080,-203189926,585814613,1074121995,1289285745,-136521655,-1533293245,-1452369900,-588893729,812593885,-1825936714,-1119477101,-2009817799,330465338,532493790,190668780,-327253399,1373075616,-644766034,866507600,-1992128766,-561644441,1089194550,-686539363,-2009255851,-537881217,1983595802,-1817099753,1588524111,-931426050,297124827,2090195049,-1770166755,1154263551,-801820861,40508139,-1276719343,-1206848126,1780360585,1511364164,-1561322809,-815127956,-2081199417,-813075049,87337775,892294682,-1389631356,-569017546,-742949503,1913478636,1768352159,784029642,-466595188,926410537,1789734913,-989174838,-1288912056,-1297254320,1232027172,439518918,2129832849,1149895837,-1941967157,-1063107156,294472623,244801279,-1764231040,1175035390,-624681065,-263468637,2132186552,1357679324,2101094290,-559063835,-74950807,-2072193896,-1138177568,512545386,-1668998265,635545530,-813248248,-269592471,-1042793049,-1350639885,1968785584,-1563688530,1298989018,603952847,15787002,1404847582,-612158147,-1864783121,1572027801,-272865572,-1229893011,2121330493,847537041,-1580339466,-2106837544,1407771945,83848644,-756690120,35756807,954300312,87545332,1472996147,2063199787,170301577,1293018895,-1847956685,-1962691490,429298052,861406628,-1244521762,-676437079,1997978167,1792829782,-1262082640,1974647899,1155087498,-722469732,-705346052,-883685732,99342379,-1930577961,-1003334493,1346576251,-1409290986,-1192597519,1983462504,1277812201,882880878,376583727,1159369569
5,1668076542,-1974898655,-1544056769,-222957432,1518284294,-1021284664,1190569078,-1178842956,1675487838,384496008,-1795268317,-746020416,-1376896767,-338268091,-164641236,1577583793,-417785712,1748400587,548121940,747102687,1280883735,-431223526,-1780651139,1669259503,1257691665,834356002,-2087688549,500669959,-2029785885,-379238436,1170934117,-1011886436,-2016232681,-1809005075,1993306065,1216262046,1629807828,1286646008,-985966543,-229376365,-350531233,-86372507,1193369156,1203564619,1995053721,591029632,1115839939,981742883,594224543,472076011,-1497395124,-1725111684,-969174364,133045954,-858326145,2060400170,1375999831,1931960330,-723214015,-1089871810,1742990087,1348811557,-348664445,1132554129,-1849265818,976530849,-547448184,838891243,819044560,290727931,-758047338,847190953,104963734,-1348333618,146291445,-1945576175,-659405894,940803302,-459100472,2092196616,-461976524,-617210539,-1795155466,989397668,-604352157,-669049408,145830006,-2043052211,-454455621,-1553862398,-1206086796,1351809008,-313130473,230959486,1697200861,-1243029527,182020801,-1902849965,1393891008,-1367653408,2053075386,554316145,-1997941181,-1389923300,1606699706,-1029483777,1560171997,-829476747,480629885,-283469550,1839153509,1604574879,1039959321,688151137,-1275991551,1396886052,730844463,1912177266,-1879568007,463472056,-91349041,-1917625728,752190667,1284767154,-1425729647,-1470806818,-120235966,1209887467,-963420791,1489904779,-820851571,-521941298,1884043861,-68519081,1925034642,2056590904,-152936412,-342691069,-688286110,-1059454943,266491329,-465273336,-1125803129,1331969255,171372594,27264089,-458426932,-1083662242,312295633,1344371575,1117792769,493423078,706474552,477632483,161563192,2039467781,-325213754,6555736,1395309439,1029824853,789450054,-1194172068,-1241126797,-854895871,-855455268,1853885061,-1558094875,-157268056,899473764,265997735,182317719,-1856762595,1237445267,1580525649,529634943,-1083913773,1200305861,-70503602,-396560382,824334850,1441734394,-1687150665,-1552945954,-58732535,-169098013,1364092806,1457371253,2011719156,-1103342403,419417151,-31351724,-739642680,-918310917,-304211689,-137566031,147469984,1914188810,-715504995,719484633,-1432146907
6,-103067443,-1554455584,-1270620904,1663417586,-885186372,-685007218,-939109971,-1830514666,-8568315,-95463976,-1227781134,-558326197,1987137734,1972160817,-2044348993,555525122,-876561827,907214041,-2022223674,-1094216387,-722012511,1838156133,-490003688,956920477,-683105919,1881553888,-1928386231,-6652943,-1224901952,-927028747,2100749719,1638458167,-273686782,-900493128,-589368957,-1111279210,-574056095,-1382695517,1594696949,1956768940,2116639882,-1060284099,533945458,1103742352,-1968594863,-242433293,-125715600,-862960927,-572725162,398172925,-1524597090,1750211032,-883497805,-838650374,-2131525234,929493830,-340042927,-1857176000,-577956373,1916891581,-100057294,638246701,1586791367,1092001430,-1941971741,-1382327632,919316618,1648171734,-376517934,-195252584,83930547,149116338,867861478,1274491963,1171208104,-2123906640,65279121,-1861598608,2032250162,65074224,-96331417,87619612,1393715389,110234020,688137161,-202590964,1350641982,1895434227,607658660,-6516424,2109941150,1892235541,-1094576243,-170416115,1699109501,-383684703,1782249019,-1022664219,1446435908,-126407566,-1841568756,69965471,811631030,-1802103240,19463102,-1259514015,-209044149,280616713,-724207171,-465200330,-833155592,63432497,194071075,-371528085,1750667421,-206743945,1569984141,220276378,484011043,-742929182,-399163714,1742521016,617437252,964025960,1728634892,581459945,-1454575017,10541173,2135674629,472355609,-194600525,139038215,2108345494,532640612,-1924354148,235942662,-1544090099,-1137199051,-1981139900,1471262977,314205090,771537256,1709606978,1042354170,-1654558001,834291933,-848758265,1688541383,902109895,2080054011,114555228,1898946972,1257620995,-1540851899,-1734808397,-134840444,700296036,682189469,-753963259,340300295,-2102147327,-933556104,1874184020,406807670,2036264638,125201631,-538872026,669087043,-1675508121,-1892129516,1704339290,-481104546,476571433,1438409380,-1819296193,-157436338,697333786,1583192203,-1568238450,1572156718,-81464953,114134342,-1043991664,-1691318365,1790670185,592242528,-368490307,496397710,714277967,-1069896826,1978962572,-532547951,1618718546,1074321720,1099124129,-444278502,-203611155,-714942290,2096834268,1317483679
7,631001161,-869371097,1109056293,-1049864769,-1631927475,978426876,1936362336,973592687,1212529132,355074003,1094284896,41023929,786708405,27842206,1178779771,-1814378332,430342623,-1728936292,197470084,-129715193,-2142309361,2046036058,-1957603001,-1225491425,730859507,1287604228,-566401942,-127205799,1883144285,554398527,257526325,-217899288,1434990524,-532238199,-1998071114,-771503780,-1380700643,907141811,-875314182,1052292503,1807996614,-42001522,1310629375,-34083857,-230173996,761608142,1566953685,1223476308,-1393109707,-1096116674,-725661149,1758345480,-712663515,-1631515563,1055314948,1640839749,-511672771,-1817819215,-567346015,-1415610205,2015840861,-391672027,1908108494,-1347762354,-474643238,-933118752,-1750000275,1248383595,-1014284078,-1000092993,-2121320115,1089284198,-1881628982,1538305293,-742395322,-508651237,-286483141,1796799669,1012890853,-2082400798,-591173079,-91742987,-383307316,-120855860,-1084815041,1000399967,1942667255,-1843864488,121428651,1717317260,-1576357139,-279542067,-2002458347,1494744586,-536599258,-1541424872,2017567648,-1121107917,-1653572986,-2126205365,1739619343,-2105710678,-1251458994,861300655,-379572927,-1341077399,1253991953,-1782482577,1095521045,455766565,-333880141,-1710027869,770860953,2050242626,-1161035406,-521427590,-2007922243,1092407989,1071005604,-43589975,-448088149,237268615,-1003102665,566174213,-947064982,-932213346,2037203845,-258786475,1649371139,-975531507,1731095459,-128783398,1103382766,237673859,996641299,1703155627,-1719854921,-1085582016,1871436142,963910786,-1858140727,428083714,-627682442,470037520,-853755804,-1017726066,-116156718,204894257,833488426,781040872,1460617173,-1938671962,1028802247,2042515875,1934987481,-656982259,-1323580590,1783403554,-690234711,-134790527,-363388592,1805786024,1957142362,1481346356,2131565926,1975335341,1443287820,992602923,-465863934,-542968007,-45904555,-275136023,1725832328,1646576337,918979576,-44295992,663037335,-550835296,-688684109,-1824136759,-414377038,1585184679,-785237000,1343768815,-228997284,1804593135,1395810563,-1819320231,-1240541807,1927671897,-911642746,-1926003025,-1694666394,-967929368,1373593440,-1364668891,-913643780,585259507,-726221394,354267249
8,-1802220421,1157712707,954497683,-980479380,-356586560,-973971742,1974711787,-2091521863,1549473753,-2028739259,1906494184,-1412287955,236565582,-2070060367,1697855546,-1907193149,1463366654,539321391,29134074,-1347124798,295257450,-966651259,-855938703,-959315600,1499409219,-1555594671,-1965318269,-1150016347,110830702,-333864458,-313882041,352258822,-215224786,148963380,-336829763,-97426947,2030068759,-784280575,-435184998,1557348404,60829627,-583671646,1718746928,-1244402087,1977990013,-2041691634,-89046508,-182645140,323514529,-386376753,-113211445,1990473924,1394696763,795429038,-546464130,-554649416,-849282502,258802984,-734622153,2006026147,128639401,1607600905,-519255079,1950994859,1519862838,2071933571,1493191449,594409043,-1864924664,-103373161,-886181046,-231091662,1119284974,2087960266,-1013734626,454450307,2130090001,-560557437,818410263,-895747004,1663155739,-1906934418,-1038480829,-1574492809,844506783,1105229038,-217487613,-1552872025,634700033,-736450685,-968773110,1992395351,1015663000,161377726,-522979748,943304595,1267578999,-1124019008,-1181255662,795270135,1426911614,482371421,-169501028,-1972714428,-1590885304,-1814301010,-1292118306,-848543352,-161604415,-819499817,1026652977,440252749,-1699361604,-1197471543,-311879748,1922510736,620212673,-531941248,-91124630,358029742,-626412390,1120038760,-1935893909,-1438822960,-1111446449,964888502,601524778,1239808760,631123680,-2012837825,843584592,1650483750,357119523,2090420747,829096252,1043698527,1112880424,-1163469748,568880449,-282452077,1481509627,615410828,-1912187491,-13560636,-407314950,143374301,540634324,-91926111,-1598844332,-1555669020,2112286251,-287447210,-1098944554,165996707,-1958368648,-269768352,125166768,749592353,-2099717345,1476880325,36753177,1625743556,-31747714,2085608454,1956631525,287997995,1586538280,1756236369,-240284462,353107208,200188126,-1512210827,-196028517,841266485,-1152534028,491903196,-1701080964,-1382906442,653829324,-1120049375,1494985645,-1992677743,-768807115,-1218424210,-1510609956,-1278386005,-231241219,-873885672,955616770,-1890804301,-2081411960,2132903318,1237173236,1976295557,2047569011,648690804,1960242084,-1664991959,1301220292,-427242261
9,1911147863,665814520,-1518239026,-2101062569,-2143607366,-271411313,-1107268632,203217277,871063579,-1678478027,615482414,1729932601,-637162852,-1476520427,-654557089,51890352,-1975219242,1796186044,1135334102,1493579579,-476717338,1323264501,-1605362869,-1833777938,-1790774406,1185500055,1112766804,-1199348067,1487998459,2084874627,-459221805,-1639560172,-1773175798,-466650211,-1096902674,2109836577,171447746,-2005217233,1624259341,814287578,-1503344710,-387025616,-885259491,-990884122,-1446594828,105003483,-1062332609,-339171983,1939629277,454019059,39750170,-828238058,513946784,2028267357,798539826,1204940657,-892866837,21126430,175914339,-1118927713,285191460,101691184,1971317571,-1199700291,1683346342,672488634,339380191,-696261050,1374971811,-444956863,-997923893,-1336762644,-660998606,2052346572,1867771106,1434818896,-2019354187,-43591312,-852047983,-1370206090,1277665333,225206869,-1991834559,638557919,-1885991000,1870184649,163258171,-1026738319,525499120,-1347179959,-1606101753,-1042161452,379006189,506983303,-1655300829,472715350,960886319,1337455289,-253960905,-1536164738,-1499102895,-138703011,1355754738,1917725769,-1899390104,1403095004,687752176,-1402300148,-1391281290,2083838041,-916693375,-1293534508,-521704560,-1125416187,-1556626482,-1431473654,733861309,2039689215,218597698,-198965305,-1048659408,1138707355,-1182777415,1709589019,-1898749973,-1645816600,2064858713,-1150960012,-1720333796,-2030733319,1215962610,1662079642,1415849089,-1500744665,1346076315,-956135225,-1540508867,-725918888,-1938833557,-1574261155,-1190290460,-749489860,-2071984502,96838112,-1694901205,-701458837,1335437232,1471990107,361014168,-1515474803,-939063823,1659693254,-2090661706,-1235837721,-2116329612,1719911062,393984227,-388310068,1053169998,-1100306144,79978071,-1191993652,1228121039,405170940,1735972162,-2141249256,285650485,-1198401099,740132420,-703799291,-1184922563,-313725448,1110727037,1894002517,13566103,-946061160,843779496,-884055971,-396013744,-1634336744,-922189401,849271517,-1153806180,-1419751114,-742340421,1777111485,430189999,1865286343,458916564,-1683449159,-1669145537,-1101658335,-1557251626,1515742049,1188321862,-583148521,-1113499072,1018120028,1897084482,1377203001
